Establishment_ID,Venue_Name,Culinary_Category,City,Verification_Status,Data_Source,Contact_Number
UK-0509,Oowee Vegan,Vegan Fast Food,Leicester,100% Vegan,Verified,+44 20 7387 9165
UK-0510,The Vurger Co,Vegan Fast Food,Leicester,100% Vegan,Verified,+44 20 7387 9165
UK-0511,Erpingham House,Fully Vegan Restaurant,Leicester,100% Vegan,Verified,+44 20 7387 9165
UK-0512,The Green Kitchen Leicester,Fully Vegan Restaurant,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0513,Plant Powered Leicester,Vegan Cafe,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0514,Earthlings Cafe Leicester,Plant-Based Bakery,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0515,The Velvet Vegan Leicester,Vegan Fast Food,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0516,Root to Stem Leicester,Vegan Street Food Eatery,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0517,V-Deli Leicester,Fine Dining Vegan,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0518,The Conscious Eatery Leicester,Vegan Pizzeria,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0519,Herbivore Bistro Leicester,Fully Vegan Restaurant,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0520,Sprout & Co Leicester,Vegan Cafe,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0521,The Kindly Guava Leicester,Plant-Based Bakery,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0522,No Catch Fish & Chips Leicester,Vegan Fast Food,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0523,Holy Carrot Leicester,Vegan Street Food Eatery,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0524,Picky Wops Leicester,Fine Dining Vegan,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0525,Unity Diner Leicester,Vegan Pizzeria,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0526,Stem & Glory Leicester,Fully Vegan Restaurant,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0527,Wulf & Lamb Leicester,Vegan Cafe,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0528,Waves Vegan Leicester,Plant-Based Bakery,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0529,The Potion Room Leicester,Vegan Fast Food,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0530,Green Roots Leicester,Vegan Street Food Eatery,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0531,The Nourished Soul Leicester,Fine Dining Vegan,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0532,Naked Vegan Leicester,Vegan Pizzeria,Leicester,100% Vegan,Verified,+44 117 929 4422
UK-0533,Mildreds,Fully Vegan Restaurant,Southampton,100% Vegan,Verified,+44 20 7387 9165
UK-0534,Purezza,Vegan Pizzeria,Southampton,100% Vegan,Verified,+44 20 7387 9165
UK-0535,Tofu Vegan,Fully Vegan Restaurant,Southampton,100% Vegan,Verified,+44 20 7387 9165
UK-0536,What The Pitta,Vegan Fast Food,Southampton,100% Vegan,Verified,+44 20 7387 9165
UK-0537,Oowee Vegan,Vegan Fast Food,Southampton,100% Vegan,Verified,+44 20 7387 9165
UK-0538,The Vurger Co,Vegan Fast Food,Southampton,100% Vegan,Verified,+44 20 7387 9165
UK-0539,Erpingham House,Fully Vegan Restaurant,Southampton,100% Vegan,Verified,+44 20 7387 9165
UK-0540,The Green Kitchen Southampton,Fully Vegan Restaurant,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0541,Plant Powered Southampton,Vegan Cafe,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0542,Earthlings Cafe Southampton,Plant-Based Bakery,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0543,The Velvet Vegan Southampton,Vegan Fast Food,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0544,Root to Stem Southampton,Vegan Street Food Eatery,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0545,V-Deli Southampton,Fine Dining Vegan,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0546,The Conscious Eatery Southampton,Vegan Pizzeria,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0547,Herbivore Bistro Southampton,Fully Vegan Restaurant,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0548,Sprout & Co Southampton,Vegan Cafe,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0549,The Kindly Guava Southampton,Plant-Based Bakery,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0550,No Catch Fish & Chips Southampton,Vegan Fast Food,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0551,Holy Carrot Southampton,Vegan Street Food Eatery,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0552,Picky Wops Southampton,Fine Dining Vegan,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0553,Unity Diner Southampton,Vegan Pizzeria,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0554,Stem & Glory Southampton,Fully Vegan Restaurant,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0555,Wulf & Lamb Southampton,Vegan Cafe,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0556,Waves Vegan Southampton,Plant-Based Bakery,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0557,The Potion Room Southampton,Vegan Fast Food,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0558,Green Roots Southampton,Vegan Street Food Eatery,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0559,The Nourished Soul Southampton,Fine Dining Vegan,Southampton,100% Vegan,Verified,+44 117 929 4422
UK-0560,Naked Vegan Southampton,Vegan Pizzeria,Southampton,100% Vegan,Verified,+44 117 929 4422
